cvegeo,vivtot,tvivhab,p_tvivhab,tvivpar,p_tvivpar,tvivparhab,pvivparhab,vivpar_des,p_vivpar_d,vivpar_ut,p_vivpar_u,vivnohab,p_vivnohab,vph_pisodt,p_v_pisodt,vph_c_elec,p_v_c_elec,vph_aguadv,p_v_aguadv,vph_drenaj,p_v_drenaj,vph_excusa,p_v_excusa,v_3masocup,p_3masocup,proocup_c,pobtot,p0a14a,pp0a14a,p15a29a,pp15a29a,p30a59a,pp30a59a,p_60ymas,pp_60ymas,pcon_lim,ppcon_lim,graproes,acesoper_,acesoaut_,recucall_,senaliza_,alumpub_,telpub_,banqueta_,guarnici_,arboles_,rampas_,puessemi_,puesambu_,acesoper_c,acesoaut_c,recucall_c,senaliza_c,alumpub_c,telpub_c,banqueta_c,guarnici_c,arboles_c,rampas_c,puessemi_c,puesambu_c,ent,nom_ent,mun,nom_mun,loc,nom_loc,ageb,mza,fecha_poli,fecha_inf,fecha_ceu,oid
"0901500010042002",423.000000000000000,370.000000000000000,87.469999999999999,423.000000000000000,100.000000000000000,370.000000000000000,87.469999999999999,53.000000000000000,12.529999999999999,0.000000000000000,0.000000000000000,53.000000000000000,12.529999999999999,347.000000000000000,93.780000000000001,347.000000000000000,93.780000000000001,341.000000000000000,92.159999999999997,341.000000000000000,92.159999999999997,346.000000000000000,93.510000000000005,13.000000000000000,3.510000000000000,2.900000000000000,1127.000000000000000,269.000000000000000,23.870000000000001,237.000000000000000,21.030000000000001,513.000000000000000,45.520000000000003,39.000000000000000,3.460000000000000,4.000000000000000,0.000000000000000,11.600000000000000,2.000000000000000,3.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,2.000000000000000,3.000000000000000,2.000000000000000,3.000000000000000,Restricción en alguna vialidad,Restricción en ninguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Alguna vialidad,Ninguna vialidad,Alguna vialidad,Ninguna vialidad,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","002","2010","2010","2010","55612"
"0901500010042003",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,3.000000000000000,3.000000000000000,3.000000000000000,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Todas las vialidades,Todas las vialidades,Todas las vialidades,Alguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Ninguna vialidad,Ninguna vialidad,Ninguna vialidad,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","003","2010","2010","2010","55613"
"0901500010042006",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,3.000000000000000,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Ninguna vialidad,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","006","2010","2010","2010","55614"
"0901500010042007",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,3.000000000000000,2.000000000000000,2.000000000000000,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Todas las vialidades,Alguna vialidad,Todas las vialidades,Alguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Ninguna vialidad,Alguna vialidad,Alguna vialidad,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","007","2010","2010","2010","55615"
"0901500010042008",99.000000000000000,97.000000000000000,97.980000000000004,99.000000000000000,100.000000000000000,97.000000000000000,97.980000000000004,,,,,,,95.000000000000000,97.939999999999998,94.000000000000000,96.909999999999997,95.000000000000000,97.939999999999998,95.000000000000000,97.939999999999998,95.000000000000000,97.939999999999998,5.000000000000000,5.150000000000000,3.400000000000000,332.000000000000000,78.000000000000000,23.489999999999998,90.000000000000000,27.109999999999999,118.000000000000000,35.539999999999999,43.000000000000000,12.949999999999999,13.000000000000000,4.000000000000000,8.600000000000000,3.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,3.000000000000000,3.000000000000000,3.000000000000000,Restricción en ninguna vialidad,Restricción en alguna vialidad,Todas las vialidades,Todas las vialidades,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Ninguna vialidad,Ninguna vialidad,Ninguna vialidad,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","008","2010","2010","2010","55616"
"0901500010042009",8.000000000000000,4.000000000000000,50.000000000000000,8.000000000000000,100.000000000000000,4.000000000000000,50.000000000000000,4.000000000000000,50.000000000000000,0.000000000000000,0.000000000000000,4.000000000000000,50.000000000000000,4.000000000000000,100.000000000000000,4.000000000000000,100.000000000000000,4.000000000000000,100.000000000000000,4.000000000000000,100.000000000000000,4.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,,8.000000000000000,0.000000000000000,0.000000000000000,,,4.000000000000000,50.000000000000000,,,0.000000000000000,0.000000000000000,9.800000000000001,3.000000000000000,3.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,3.000000000000000,3.000000000000000,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Ninguna vialidad,Ninguna vialidad,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","009","2010","2010","2010","55617"
"0901500010042010",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,3.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,2.000000000000000,3.000000000000000,3.000000000000000,3.000000000000000,Restricción en alguna vialidad,Restricción en ninguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Alguna vialidad,Ninguna vialidad,Ninguna vialidad,Ninguna vialidad,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","010","2010","2010","2010","55618"
"0901500010042011",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,2.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,3.000000000000000,3.000000000000000,Restricción en ninguna vialidad,Restricción en alguna vialidad,Todas las vialidades,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Ninguna vialidad,Ninguna vialidad,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","011","2010","2010","2010","55619"
"0901500010042012",40.000000000000000,34.000000000000000,85.000000000000000,40.000000000000000,100.000000000000000,34.000000000000000,85.000000000000000,5.000000000000000,12.500000000000000,,,6.000000000000000,15.000000000000000,29.000000000000000,85.290000000000006,32.000000000000000,94.120000000000005,30.000000000000000,88.239999999999995,31.000000000000000,91.180000000000007,31.000000000000000,91.180000000000007,16.000000000000000,47.060000000000002,3.200000000000000,116.000000000000000,37.000000000000000,31.899999999999999,30.000000000000000,25.859999999999999,36.000000000000000,31.030000000000001,7.000000000000000,6.030000000000000,0.000000000000000,0.000000000000000,8.800000000000001,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,2.000000000000000,3.000000000000000,Restricción en alguna vialidad,Restricción en alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Alguna vialidad,Ninguna vialidad,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","012","2010","2010","2010","55620"
"0901500010042013",99.000000000000000,56.000000000000000,56.570000000000000,99.000000000000000,100.000000000000000,56.000000000000000,56.570000000000000,41.000000000000000,41.409999999999997,,,43.000000000000000,43.430000000000000,45.000000000000000,80.359999999999999,53.000000000000000,94.640000000000001,39.000000000000000,69.640000000000001,47.000000000000000,83.930000000000007,48.000000000000000,85.709999999999994,6.000000000000000,10.710000000000001,2.800000000000000,164.000000000000000,42.000000000000000,25.609999999999999,34.000000000000000,20.730000000000000,69.000000000000000,42.070000000000000,10.000000000000000,6.100000000000000,8.000000000000000,5.000000000000000,10.500000000000000,3.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,2.000000000000000,Restricción en ninguna vialidad,Restricción en alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Alguna vialidad,"09",Ciudad de México,"015",Cuauhtémoc,"0001",Cuauhtémoc,"0042","013","2010","2010","2010","55621"
